,Unnamed: 0,ID,title,product_type,macro_category,prices,quantities,unit_of_measure,score,total_annual_revenues
42,42.0,3.7876181954176527e+18,Luxury Cosmetic Recolored Mica Pearl Sparkling Pigment Epoxy Resin Color Pigment Mica Powder,Pigment,Chemicals,"['$0.55/piece', '']",,,5.0,50000.0
43,43.0,-3.8839294177159127e+18,Factory supply directly iron oxide red and yellow pigments for making paint/concrete lowest price iron oxide pigment,Pigment,Chemicals,"['$10.00/kilogram', '']",,,4.9,140000.0
44,44.0,6.445464680837962e+18,Organic Pigment Yellow 34 CAS 1344-37-2 For Coating Inks Paints,Pigment,Chemicals,145.0,25.0,kilograms,5.0,100000.0
45,45.0,6.445464680837962e+18,Organic Pigment Yellow 34 CAS 1344-37-2 For Coating Inks Paints,Pigment,Chemicals,89.0,70000.0,kilograms,5.0,100000.0
46,46.0,4.952014355080171e+17,Color Powder Plastic Dyes Colorant For Plastic And Color Masterbatch,Pigment,Chemicals,"['$0.10/kilogram', '']",,,,10000.0
47,47.0,-3.91520753571414e+18,Sheng Zhu Super Glitter Cosmetics Grade Color Shifting Aurora For Eyeshadow Chameleon Pigment Powder,Pigment,Chemicals,"['$0.10/gram', '']",,,4.9,250000.0
48,48.0,2.7536466863720084e+18,30 colors 10ml set liquid candle pigment dye high concentrated colorant for DIY candles and soap handmade craft,Pigment,Chemicals,10.5,1.0,sets,4.5,3500000.0
49,49.0,2.7536466863720084e+18,30 colors 10ml set liquid candle pigment dye high concentrated colorant for DIY candles and soap handmade craft,Pigment,Chemicals,10.1,100.0,sets,4.5,3500000.0
50,50.0,2.7536466863720084e+18,30 colors 10ml set liquid candle pigment dye high concentrated colorant for DIY candles and soap handmade craft,Pigment,Chemicals,9.0,1000.0,sets,4.5,3500000.0
51,51.0,2.7536466863720084e+18,30 colors 10ml set liquid candle pigment dye high concentrated colorant for DIY candles and soap handmade craft,Pigment,Chemicals,7.6,3000.0,sets,4.5,3500000.0
52,52.0,1.369384715844524e+18,Reversible high temperature Change Color pigment Color to Colorless Thermochromic pigment powder heat sensitive dye,Pigment,Chemicals,"['$2.00/gram', '']",,,5.0,90000.0
53,53.0,4.163428704559282e+18,Timesrui Hot Selling 50g DIY Epoxy Resin 45 Rainbow Colors Pigment Resin Dyes For DIY Resin Filler Jewelry Making Craft,Pigment,Chemicals,2.1,1.0,sets,4.9,220000.0
54,54.0,4.163428704559282e+18,Timesrui Hot Selling 50g DIY Epoxy Resin 45 Rainbow Colors Pigment Resin Dyes For DIY Resin Filler Jewelry Making Craft,Pigment,Chemicals,1.9,50.0,sets,4.9,220000.0
55,55.0,4.163428704559282e+18,Timesrui Hot Selling 50g DIY Epoxy Resin 45 Rainbow Colors Pigment Resin Dyes For DIY Resin Filler Jewelry Making Craft,Pigment,Chemicals,1.7,100.0,sets,4.9,220000.0
56,56.0,-4.122536031349256e+18,Iron Oxide Red/Black/Yellow/Blue Iron Oxide Pigments for Cement Concrete Brick Colorant,Pigment,Chemicals,"['$0.75/kilogram', '']",,,4.5,120000.0
57,57.0,-4.042008289017891e+18,Holographic color shifting Chameleon Pearl Pigment chrome powder For Car Paint,Pigment,Chemicals,,,,,1000.0
58,58.0,9.075203457261686e+18,High Quality Universal Cosmetic Ultra Fine Laser Holographic Pigment Holographic Eyeshadow Pigment,Pigment,Chemicals,2.3,50.0,grams,4.9,110000.0
59,59.0,9.075203457261686e+18,High Quality Universal Cosmetic Ultra Fine Laser Holographic Pigment Holographic Eyeshadow Pigment,Pigment,Chemicals,2.0,200.0,grams,4.9,110000.0
60,60.0,9.075203457261686e+18,High Quality Universal Cosmetic Ultra Fine Laser Holographic Pigment Holographic Eyeshadow Pigment,Pigment,Chemicals,1.9,500.0,grams,4.9,110000.0
61,61.0,-4.771617335737882e+18,Kolortek Cosmetic Grade Matte Effect Iron Oxide Pigment Powder,Pigment,Chemicals,"['$30.00/kilogram', '']",,,5.0,50000.0
62,62.0,-2.809756413309891e+18,CNMI Cosmetic Grade Mica Powder Makeup Mica Powder Pearl Pigments Inorganic Pigment Cosmetic Grade Mica Powder,Pigment,Chemicals,10.85,1000.0,sets,4.5,210000.0
63,63.0,4.665665141342043e+18,green yellow blue red PE UV 365nm pigments invisible security Uv fluorescent pigment powder,Pigment,Chemicals,"['$1.00/gram', '']",,,5.0,90000.0
